dish_name,calories,protein,carbohydrates,fats,dietary_fiber,sugars,sodium,calcium,iron,vitamin_c,folate
Pizza Hut Triple Chicken Feast (Medium),583.99,27.37,60.83,25.44,5.86,0.0,1517.17,0.0,0.0,0.0,0.0
Pizza Hut Chicken Tikka (Medium),516.89,23.01,62.04,19.63,8.59,0.0,865.24,0.0,0.0,0.0,0.0
Pizza Hut Cheese Maxx (Personal),147.38,5.17,4.05,12.27,0.24,0.0,373.73,0.0,0.0,0.0,0.0
Pizza Hut Veg kebab (Personal),192.02,5.86,13.73,12.63,0.71,4.62,561.88,0.0,0.0,0.0,0.0
Pizza Hut Chicken Seekh Kebab (Personal),194.67,8.03,7.16,14.88,0.55,4.38,487.88,0.0,0.0,0.0,0.0
Pizza Hut Cheese Maxx (Medium),149.37,4.97,4.04,12.59,0.22,0.0,367.88,0.0,0.0,0.0,0.0
Pizza Hut Veg kebab (Medium),202.06,6.12,14.33,13.36,0.72,4.9,580.03,0.0,0.0,0.0,0.0
Pizza Hut Chicken Seekh Kebab (Medium),204.75,8.42,7.37,15.73,0.55,4.63,501.32,0.0,0.0,0.0,0.0
Pizza Hut Classic Paneer Capsicum & Onion,443.87,12.87,57.4,18.09,10.9,0.0,1143.26,0.0,0.0,0.0,0.0
Pizza Hut Schezwan Meatball & Capsicum,401.27,10.44,50.98,17.29,9.75,0.0,913.93,0.0,0.0,0.0,0.0
Pizza Hut Spicy Baked Chicken Wings,140.22,14.12,6.77,8.7,1.69,0.0,993.25,0.0,0.0,0.0,0.0
Pizza Hut Garlic Bread,246.73,3.58,18.45,17.63,2.14,2.19,330.22,0.0,0.0,0.0,0.0
Pizza Hut Garlic Bread Spicy Supreme,270.17,5.27,29.21,14.7,2.7,1.0,887.49,0.0,0.0,0.0,0.0
Pizza Hut Cheesy Comfort (Veg),332.02,18.81,28.68,15.78,3.3,5.21,692.95,0.0,0.0,0.0,0.0
Pizza Hut Cheesy Comfort (Chicken),439.02,20.35,29.6,26.58,4.01,0.0,1050.16,0.0,0.0,0.0,0.0
Pizza Hut Indi Rockin Roll - Veg,289.81,11.81,28.58,14.25,2.35,6.96,632.04,0.0,0.0,0.0,0.0
Pizza Hut Indi Rockin Roll - Chicken,255.65,12.32,27.07,10.9,2.41,5.34,544.72,0.0,0.0,0.0,0.0
Pizza Hut Zesty Pocket (Veg),192.91,5.7,22.1,9.08,1.94,2.95,274.33,0.0,0.0,0.0,0.0
Pizza Hut Zesty Pocket (Chicken),157.99,6.97,18.01,6.45,1.81,3.19,327.26,0.0,0.0,0.0,0.0
Pizza Hut Baked Momos (Veg),218.97,6.1,17.99,13.62,3.62,3.26,624.02,0.0,0.0,0.0,0.0
Pizza Hut Baked Momos (Chicken),223.71,9.94,15.72,13.45,2.95,2.85,542.52,0.0,0.0,0.0,0.0
Pizza Hut Tear and Share (Veg),424.82,14.65,45.21,20.6,3.05,0.0,841.66,0.0,0.0,0.0,0.0
Pizza Hut Tear and Share (Chicken),442.46,18.47,48.92,19.22,3.63,0.0,838.16,0.0,0.0,0.0,0.0
Pizza Hut Choco Vanilla Romance,90.48,1.36,17.93,1.62,0.45,13.48,40.31,0.0,0.0,0.0,0.0
Pizza Hut Ebony & Ivory,201.84,1.38,34.73,6.52,2.15,20.79,142.35,0.0,0.0,0.0,0.0
Pizza Hut Choco Chip Cookie Sundae (Regular),433.72,6.39,68.66,15.12,3.59,44.01,264.09,0.0,0.0,0.0,0.0
Pizza Hut Jamuntini,134.0,0.21,32.18,0.38,0.14,31.58,450.09,0.0,0.0,0.0,0.0
Pizza Hut Masal Pepsi,126.5,0.21,30.93,0.38,0.14,30.33,412.59,0.0,0.0,0.0,0.0
Pizza Hut Masala Mirinda,156.5,0.21,38.18,0.38,0.14,37.58,420.0,0.0,0.0,0.0,0.0
Pizza Hut Pepsi,107.5,0.0,27.25,0.0,0.0,27.25,7.5,0.0,0.0,0.0,0.0
Pizza Hut 7 up,115.0,0.0,28.5,0.0,0.0,28.5,45.0,0.0,0.0,0.0,0.0
Pizza Hut Mirinda,137.5,0.0,34.5,0.0,0.0,34.5,15.0,0.0,0.0,0.0,0.0
Pizza Hut Lipton Ice Tea Lemon Flavoured,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Pizza Hut Pepsi Black,74.0,0.0,18.6,0.0,0.0,18.6,22.0,0.0,0.0,0.0,0.0
Burger King Crispy veg,426.7,8.4,52.0,20.6,8.0,6.2,700.0,0.0,0.0,0.0,0.0
Burger King BK veggie,398.2,8.6,52.4,17.2,11.0,4.9,600.0,0.0,0.0,0.0,0.0
Burger King Veg Chilli Cheese,422.6,11.6,50.6,19.3,10.0,5.1,1000.0,0.0,0.0,0.0,0.0
Burger King Paneer king,525.8,14.0,67.1,22.4,10.0,6.9,1400.0,0.0,0.0,0.0,0.0
Burger King Veg Supreme,374.1,11.5,49.2,16.5,7.0,6.6,600.0,0.0,0.0,0.0,0.0
Burger King Veg Surprise,385.1,10.3,51.7,15.3,5.0,10.5,1000.0,0.0,0.0,0.0,0.0
Burger King Veg Whopper,749.0,11.0,100.6,31.4,12.0,8.3,1600.0,0.0,0.0,0.0,0.0
Burger King Masala Whopper Veg,753.2,19.0,94.7,33.2,8.0,11.8,1700.0,0.0,0.0,0.0,0.0
Burger King BK Grill,332.1,15.3,36.7,13.8,10.0,3.7,800.0,0.0,0.0,0.0,0.0
Burger King Chicken Tandoori Grill,369.1,24.1,35.5,14.6,4.0,9.4,1600.0,0.0,0.0,0.0,0.0
Burger King Chicken Chilli Cheese,406.1,16.8,47.9,16.4,7.0,7.3,900.0,0.0,0.0,0.0,0.0
Burger King Chicken kheema,369.1,12.1,45.8,15.3,12.0,3.8,600.0,0.0,0.0,0.0,0.0
Burger King Crispy chicken,345.2,12.4,39.0,15.5,9.0,4.5,600.0,0.0,0.0,0.0,0.0
Burger King Xtra Long chicken,533.5,23.4,61.1,21.7,7.0,9.1,1500.0,0.0,0.0,0.0,0.0
Burger King Chicken whopper,662.0,33.2,60.3,38.3,8.0,7.4,1400.0,0.0,0.0,0.0,0.0
Burger King Mutton Whopper,624.2,12.5,71.0,30.4,7.0,10.8,1200.0,0.0,0.0,0.0,0.0
Burger King Fiery chicken (South),400.0,22.9,61.7,16.2,8.0,7.5,1100.0,0.0,0.0,0.0,0.0
Burger King Fiery Chicken (North & West),409.1,23.1,61.9,18.1,9.0,6.6,1000.0,0.0,0.0,0.0,0.0
Burger King Masala Whopper Chicken,664.9,33.3,68.0,28.9,7.0,9.1,1800.0,0.0,0.0,0.0,0.0
Burger King Masala Whopper Mutton,631.4,29.3,69.3,26.4,6.0,11.3,1700.0,0.0,0.0,0.0,0.0
Burger King Chicken fries 5 pcs,206.0,10.9,19.9,9.2,10.0,2.0,500.0,0.0,0.0,0.0,0.0
Burger King Chicken fries 9 pcs,370.7,19.6,35.8,16.6,10.0,3.7,800.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Fried ( 2Pcs),167.5,17.7,0.9,10.3,0.0,0.0,500.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Fried ( 4Pcs),332.8,35.2,1.8,20.5,0.0,0.0,900.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Fried ( 8Pcs),665.7,70.4,3.6,41.1,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Fried ( 15Pcs),1224.0,129.4,6.6,75.5,0.0,0.0,3300.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Grilled ( 2Pcs),167.5,13.8,18.1,4.4,0.0,0.0,500.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Grilled ( 4Pcs),335.0,27.7,36.2,8.8,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Grilled ( 8Pcs),669.9,55.4,72.4,17.7,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
Burger King Chicken wings Grilled ( 15Pcs),1275.5,105.4,137.8,33.6,0.0,0.0,4100.0,0.0,0.0,0.0,0.0
Burger King Fiery Rings 2Pcs,137.6,3.5,18.0,5.7,16.0,1.1,200.0,0.0,0.0,0.0,0.0
Burger King Fiery Rings 4Pcs,275.3,7.0,36.0,11.5,16.0,2.2,500.0,0.0,0.0,0.0,0.0
Burger King Veg strips 3 Pcs,136.6,2.7,16.7,6.5,9.0,1.9,200.0,0.0,0.0,0.0,0.0
Burger King Veg strips 6 Pcs,273.2,6.2,33.5,5.4,9.0,3.8,500.0,0.0,0.0,0.0,0.0
Burger King Potato Tots 8 Pcs,155.9,2.6,21.0,7.1,19.0,1.1,500.0,0.0,0.0,0.0,0.0
Burger King Fries Regular,263.9,4.4,37.7,10.6,42.0,0.9,200.0,0.0,0.0,0.0,0.0
Burger King Medium Fries,406.6,7.5,58.1,6.8,42.0,1.4,300.0,0.0,0.0,0.0,0.0
Burger King King fries,535.0,9.9,76.5,8.9,42.0,1.8,400.0,0.0,0.0,0.0,0.0
Burger King Cheesy fries,460.9,8.1,56.2,22.6,9.0,6.4,600.0,0.0,0.0,0.0,0.0
Burger King Cheesy Italian fries,530.9,10.8,63.0,26.1,6.0,10.0,1100.0,0.0,0.0,0.0,0.0
Burger King Chicken keema Fries,541.4,15.3,55.9,28.5,9.0,6.2,900.0,0.0,0.0,0.0,0.0
"Starbucks Sausage, Egg & Cheddar Classic Breakfast Sandwich",500.0,15.0,41.0,28.0,1.0,3.0,920.0,0.0,0.0,0.0,0.0
"Starbucks Reduced-Fat Turkey-Style Bacon, Cheddar & Egg White
Breakfast Sandwich",230.0,13.0,28.0,6.0,2.0,3.0,540.0,0.0,0.0,0.0,0.0
"Starbucks Bacon, Gouda & Egg on Artisan Roll",350.0,17.0,30.0,18.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0
"Starbucks Spinach, Feta & Egg White Breakfast Wrap",290.0,19.0,33.0,10.0,6.0,4.0,830.0,0.0,0.0,0.0,0.0
"Starbucks Roasted Ham, Swiss & Egg on Croissant Bun",450.0,19.0,42.0,23.0,1.0,6.0,780.0,0.0,0.0,0.0,0.0
Starbucks Egg & Cheddar on English Muffin,280.0,12.0,27.0,13.0,2.0,2.0,460.0,0.0,0.0,0.0,0.0
Starbucks Double Smoked Bacon,490.0,17.0,40.0,27.0,1.0,7.0,910.0,0.0,0.0,0.0,0.0
Starbucks Whole Grain Oatmeal,160.0,5.0,28.0,2.5,4.0,0.0,125.0,0.0,0.0,0.0,0.0
Starbucks Maple Brown Sugar,50.0,0.0,13.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0
Starbucks Dried Fruit,100.0,1.0,24.0,0.4,2.0,22.0,0.0,0.0,0.0,0.0,0.0
Starbucks Nut Medley,100.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Starbucks Cherry Oat Bar,240.0,3.0,36.0,8.0,1.0,22.0,190.0,0.0,0.0,0.0,0.0
Starbucks Double Chocolate Chunk Brownie,380.0,4.0,41.0,23.0,2.0,28.0,170.0,0.0,0.0,0.0,0.0
Starbucks Gluten Free Marshmallow Dream Bar,240.0,2.0,45.0,5.0,0.0,23.0,260.0,0.0,0.0,0.0,0.0
Starbucks Oat Fudge Bar,360.0,5.0,45.0,20.0,3.0,26.0,230.0,0.0,0.0,0.0,0.0
Starbucks Blueberry Bar,250.0,4.0,35.0,13.0,3.0,4.0,180.0,0.0,0.0,0.0,0.0
Starbucks Oat Bar,360.0,6.0,43.0,19.0,5.0,12.0,220.0,0.0,0.0,0.0,0.0
Starbucks Chocolate Chunk Cookie,380.0,5.0,54.0,19.0,2.0,34.0,250.0,0.0,0.0,0.0,0.0
Starbucks Gluten Free Flourless Chocolate Cookie,170.0,2.0,30.0,5.0,2.0,26.0,110.0,0.0,0.0,0.0,0.0
Starbucks Fruit & Oat Cookie,370.0,6.0,52.0,15.0,3.0,28.0,190.0,0.0,0.0,0.0,0.0
Starbucks Multigrain Bagel,290.0,14.0,58.0,3.0,7.0,5.0,460.0,0.0,0.0,0.0,0.0
Starbucks Everything with Cheese Bagel,270.0,10.0,54.0,2.0,2.0,5.0,480.0,0.0,0.0,0.0,0.0
Starbucks Asiago & Cheddar Pretzel,360.0,16.0,46.0,12.0,2.0,1.0,1070.0,0.0,0.0,0.0,0.0
Starbucks Butter Croissant,270.0,6.0,28.0,14.0,1.0,6.0,320.0,0.0,0.0,0.0,0.0
Starbucks Chocolate Croissant,330.0,6.0,35.0,17.0,3.0,13.0,280.0,0.0,0.0,0.0,0.0
Starbucks Ham & Cheese Savoury Foldover,250.0,13.0,24.0,11.0,1.0,4.0,480.0,0.0,0.0,0.0,0.0
Starbucks Pepperoni and Tomato Savoury Foldover,270.0,10.0,27.0,14.0,3.0,6.0,510.0,0.0,0.0,0.0,0.0
Starbucks Spinach Savoury Foldover,250.0,4.0,23.0,15.0,3.0,4.0,380.0,0.0,0.0,0.0,0.0
Starbucks Morning Bun,350.0,7.0,54.0,15.0,2.0,21.0,380.0,0.0,0.0,0.0,0.0
Starbucks Cheese Danish,300.0,6.0,35.0,15.0,1.0,12.0,390.0,0.0,0.0,0.0,0.0
Starbucks Baa Loaf,380.0,5.0,52.0,17.0,2.0,29.0,270.0,0.0,0.0,0.0,0.0
Starbucks Lemon Loaf,430.0,6.0,57.0,20.0,1.0,30.0,310.0,0.0,0.0,0.0,0.0
Starbucks Reduced Fat Cinnamon Swirl Coffee Cake,370.0,5.0,67.0,9.0,2.0,41.0,280.0,0.0,0.0,0.0,0.0
Starbucks Birthday Cake Pop,180.0,1.0,24.0,9.0,0.0,18.0,80.0,0.0,0.0,0.0,0.0
Starbucks Blueberry Yogurt and Honey Muffin,380.0,6.0,53.0,16.0,1.0,30.0,260.0,0.0,0.0,0.0,0.0
Starbucks Blueberry Scone,360.0,5.0,50.0,15.0,2.0,15.0,420.0,0.0,0.0,0.0,0.0
Starbucks Cranberry Orange Scone,420.0,6.0,64.0,15.0,1.0,26.0,430.0,0.0,0.0,0.0,0.0
Starbucks Pumpkin Cream Cheese Muffin,350.0,5.0,53.0,14.0,1.0,34.0,430.0,0.0,0.0,0.0,0.0
Starbucks Pumpkin Bread,410.0,6.0,63.0,15.0,2.0,39.0,500.0,0.0,0.0,0.0,0.0
Starbucks Pumpkin Scone,450.0,4.0,64.0,21.0,2.0,41.0,390.0,0.0,0.0,0.0,0.0
Starbucks Apple Poundcake,360.0,5.0,44.0,18.0,2.0,28.0,110.0,0.0,0.0,0.0,0.0
Starbucks Pumpkin Sugar Cookie,330.0,4.0,37.0,19.0,0.0,18.0,125.0,0.0,0.0,0.0,0.0
Starbucks Pecan Tart,330.0,4.0,39.0,18.0,1.0,19.0,210.0,0.0,0.0,0.0,0.0
Starbucks Greek Yogurt & Honey Parfait,310.0,13.0,36.0,12.0,2.0,22.0,60.0,0.0,0.0,0.0,0.0
Starbucks Strawberry Blueberry Yogurt Parfait,310.0,10.0,51.0,5.0,3.0,22.0,105.0,0.0,0.0,0.0,0.0
Starbucks Seasonal Fruit Cup,80.0,1.0,20.0,0.0,3.0,17.0,15.0,0.0,0.0,0.0,0.0
McDonalds McVeggie™ Burger,402.05,10.24,56.54,13.83,2.0,7.9,706.13,0.0,0.0,0.0,0.0
McDonalds McAloo Tikki Burger®,339.52,8.5,50.27,11.31,2.0,7.05,545.34,0.0,0.0,0.0,0.0
McDonalds McSpicy™ Paneer Burger,652.76,20.29,52.33,39.45,3.0,8.35,1074.58,0.0,0.0,0.0,0.0
McDonalds Spicy Paneer Wrap,674.68,20.96,59.27,39.1,3.0,3.5,1087.46,0.0,0.0,0.0,0.0
McDonalds American Veg Burger,512.17,15.3,56.96,23.45,3.0,7.85,1051.24,0.0,0.0,0.0,0.0
McDonalds Veg Maharaja Mac,832.67,24.17,93.84,37.94,3.0,11.52,1529.22,0.0,0.0,0.0,0.0
McDonalds Green Chilli Aloo Naan,356.09,7.91,46.36,15.08,3.0,4.53,579.6,0.0,0.0,0.0,0.0
McDonalds Pizza Puff,228.21,5.45,24.79,11.44,3.0,2.73,390.74,0.0,0.0,0.0,0.0
McDonalds Mc chicken Burger,400.8,15.66,47.98,15.7,2.0,5.53,766.33,0.0,0.0,0.0,0.0
McDonalds FILLET-O-FISH Burger,348.11,15.44,38.85,14.16,3.0,5.58,530.54,0.0,0.0,0.0,0.0
McDonalds Mc Spicy Chicken Burger,451.92,21.46,46.08,19.36,2.0,5.88,928.52,0.0,0.0,0.0,0.0
McDonalds Spicy Chicken Wrap,567.19,23.74,57.06,26.89,2.0,2.52,1152.38,0.0,0.0,0.0,0.0
McDonalds Chicken Maharaja Mac,689.12,34.0,55.39,36.69,2.0,8.92,1854.71,0.0,0.0,0.0,0.0
McDonalds American Chicken Burger,446.95,20.29,38.54,22.94,3.0,7.48,1132.3,0.0,0.0,0.0,0.0
McDonalds Chicken Kebab Burger,357.05,8.64,47.9,14.02,3.0,5.08,548.79,0.0,0.0,0.0,0.0
McDonalds Green Chilli Kebab naan,230.95,5.67,31.06,9.32,2.0,3.64,410.78,0.0,0.0,0.0,0.0
McDonalds Mc Egg Masala Burger,290.42,12.45,32.89,12.27,2.0,4.89,757.91,0.0,0.0,0.0,0.0
McDonalds Mc Egg Burger for Happy Meal,282.98,12.29,31.32,12.21,2.0,4.66,399.41,0.0,0.0,0.0,0.0
McDonalds Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3,26.91,77.47,29.2,2.0,3.28,2399.49,0.0,0.0,0.0,0.0
McDonalds McSpicy Fried Chicken 1 pc,248.76,17.33,12.7,14.29,2.0,0.58,873.89,0.0,0.0,0.0,0.0
McDonalds 4 piece Chicken McNuggets,169.68,10.03,10.5,9.54,3.0,0.32,313.25,0.0,0.0,0.0,0.0
McDonalds 6 piece Chicken McNuggets,254.52,15.04,15.74,14.3,3.0,0.48,469.87,0.0,0.0,0.0,0.0
McDonalds 9 piece Chicken McNuggets,381.77,22.56,23.62,21.46,3.0,0.72,704.81,0.0,0.0,0.0,0.0
McDonalds 2 piece Chicken Strips,164.44,10.17,2.68,12.38,3.0,0.29,477.22,0.0,0.0,0.0,0.0
McDonalds 3 piece Chicken Strips,246.65,15.26,4.02,18.57,3.0,0.44,715.83,0.0,0.0,0.0,0.0
McDonalds 5 piece Chicken Strips,411.09,25.43,0.73,28.54,3.0,0.72,1193.05,0.0,0.0,0.0,0.0
McDonalds Regular Fries,224.59,3.38,27.08,10.39,3.0,0.39,153.15,0.0,0.0,0.0,0.0
McDonalds Medium Fries,317.92,4.79,38.34,14.7,3.0,0.55,216.79,0.0,0.0,0.0,0.0
McDonalds Large Fries,449.17,6.76,54.16,20.77,3.0,0.77,306.29,0.0,0.0,0.0,0.0
McDonalds Regular Wedges,204.65,3.97,28.74,7.15,2.0,0.48,356.44,0.0,0.0,0.0,0.0
McDonalds Medium Wedges,280.05,5.44,39.33,9.79,2.0,0.66,487.76,0.0,0.0,0.0,0.0
McDonalds Large Wedges,387.76,7.53,54.46,13.55,2.0,0.92,675.35,0.0,0.0,0.0,0.0
McDonalds L1 Coffee,6.8,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonalds L1 Coffee with milk,35.8,1.0,1.6,2.0,0.0,3.45,14.0,0.0,0.0,0.0,0.0
McDonalds Double Chocochips Muffin,341.68,5.13,40.13,17.28,4.0,29.44,313.21,0.0,0.0,0.0,0.0
McDonalds Vanilla Chocochips Muffin,329.29,4.48,40.13,15.46,4.0,29.6,254.92,0.0,0.0,0.0,0.0
McDonalds Veg McMuffin,309.35,10.22,38.86,11.78,3.0,3.02,804.63,0.0,0.0,0.0,0.0
McDonalds Double Cheese McMuffin,273.78,9.58,29.0,12.82,3.0,2.59,622.95,0.0,0.0,0.0,0.0
McDonalds Spicy Egg McMuffin,278.27,11.49,31.37,11.81,2.0,2.63,773.6,0.0,0.0,0.0,0.0
McDonalds Sausage Mc Muffin,281.44,16.25,28.62,10.81,3.0,2.38,742.6,0.0,0.0,0.0,0.0
McDonalds Sausage Mc Muffin with egg,290.42,22.46,28.87,15.94,2.0,2.61,804.04,0.0,0.0,0.0,0.0
McDonalds Egg McMuffin,283.46,14.05,28.12,12.31,3.0,2.38,519.31,0.0,0.0,0.0,0.0
McDonalds Hot Cake with maple syrup,432.98,8.6,68.01,14.02,3.0,25.72,615.74,0.0,0.0,0.0,0.0
McDonalds Hash Brown,140.29,1.93,15.63,7.32,2.0,0.32,275.26,0.0,0.0,0.0,0.0
McDonalds Espresso,12.87,0.52,2.55,0.03,0.0,0.13,0.32,0.0,0.0,0.0,0.0
McDonalds Espresso Machiato,44.98,2.09,4.97,2.02,1.0,2.5,26.05,0.0,0.0,0.0,0.0
McDonalds Americano (S),12.87,0.52,2.55,0.03,0.0,0.13,0.32,0.0,0.0,0.0,0.0
McDonalds Americano (R),23.07,0.94,4.57,0.05,0.0,0.24,0.57,0.0,0.0,0.0,0.0
McDonalds Americano (L),26.71,1.09,5.3,0.06,0.0,0.28,0.65,0.0,0.0,0.0,0.0
McDonalds Cappuccino (S),125.25,6.02,11.02,7.01,1.0,8.4,90.39,0.0,0.0,0.0,0.0
McDonalds Cappuccino (R),183.61,8.79,16.67,10.02,1.0,12.05,129.24,0.0,0.0,0.0,0.0
McDonalds Cappuccino (L),219.36,10.51,19.81,12.03,1.0,14.45,155.06,0.0,0.0,0.0,0.0
McDonalds Latte (S),147.72,7.12,12.71,8.41,1.0,10.06,108.4,0.0,0.0,0.0,0.0
McDonalds Latte (R),190.03,9.1,17.15,10.42,1.0,12.52,134.39,0.0,0.0,0.0,0.0
McDonalds Latte (L),232.2,11.14,20.77,12.82,1.0,15.4,165.36,0.0,0.0,0.0,0.0
McDonalds Flat White (S),166.99,8.06,14.16,9.6,1.0,11.47,123.84,0.0,0.0,0.0,0.0
McDonalds Flat White (R),215.72,10.36,19.08,12.02,1.0,14.41,154.98,0.0,0.0,0.0,0.0
McDonalds Flat White (L),251.47,12.08,22.22,14.02,1.0,16.81,180.8,0.0,0.0,0.0,0.0
McDonalds Mocha (S),185.85,7.15,22.59,8.2,1.0,17.57,132.84,0.0,0.0,0.0,0.0
McDonalds Mocha (R),244.0,8.99,31.72,9.91,1.0,23.56,168.47,0.0,0.0,0.0,0.0
McDonalds Mocha (L),302.02,10.88,40.04,12.01,1.0,29.96,209.09,0.0,0.0,0.0,0.0
McDonalds Babycino,143.5,3.87,22.85,4.38,1.0,18.53,96.44,0.0,0.0,0.0,0.0
McDonalds Hot Chocolate (S),239.42,6.73,37.08,7.77,1.0,30.31,167.21,0.0,0.0,0.0,0.0
McDonalds Hot Chocolate (R),296.81,7.7,48.41,8.76,1.0,39.24,207.09,0.0,0.0,0.0,0.0
McDonalds Hot Chocolate (L),383.29,11.01,58.43,12.84,1.0,47.96,273.35,0.0,0.0,0.0,0.0
McDonalds Premium Dark Hot Chocolate,214.21,6.15,33.04,5.96,1.0,25.73,68.28,0.0,0.0,0.0,0.0
McDonalds Double Dark Hot Chocolate,255.78,6.87,41.29,6.32,2.0,31.81,70.26,0.0,0.0,0.0,0.0
McDonalds English Breakfast (S),9.93,0.56,0.28,0.28,0.0,1.4,13.84,0.0,0.0,0.0,0.0
McDonalds English Breakfast (R),11.75,0.66,0.33,0.33,0.0,1.65,16.37,0.0,0.0,0.0,0.0
McDonalds English Breakfast (L),16.23,0.91,0.46,0.46,0.0,2.28,22.62,0.0,0.0,0.0,0.0
McDonalds Moroccon Mint Green Tea (S),6.25,0.33,2.79,0.28,0.0,1.4,14.95,0.0,0.0,0.0,0.0
McDonalds Moroccon Mint Green Tea (R),7.39,0.4,3.3,0.33,0.0,1.65,17.69,0.0,0.0,0.0,0.0
McDonalds Moroccon Mint Green Tea (L),10.21,0.55,4.56,0.46,0.0,2.28,24.44,0.0,0.0,0.0,0.0
McDonalds Strawberry Green Tea (S),7.03,0.47,2.79,0.28,0.0,1.4,14.54,0.0,0.0,0.0,0.0
McDonalds Strawberry Green Tea (R),8.32,0.56,3.3,0.33,0.0,1.65,17.19,0.0,0.0,0.0,0.0
McDonalds Strawberry Green Tea (L),11.49,0.78,4.56,0.46,0.0,2.28,23.76,0.0,0.0,0.0,0.0
McDonalds Lemon Ice Tea,121.86,0.27,30.59,0.17,0.0,26.53,10.26,0.0,0.0,0.0,0.0
McDonalds Strawberry Ice Tea,94.95,0.24,24.17,0.16,0.0,21.1,9.72,0.0,0.0,0.0,0.0
McDonalds Green Apple Ice Tea,94.94,0.24,24.17,0.16,0.0,20.75,9.61,0.0,0.0,0.0,0.0
McDonalds Iced Coffee,185.34,4.36,31.88,4.45,1.0,26.95,78.35,0.0,0.0,0.0,0.0
McDonalds Cold Coffee Frappe,331.17,4.98,45.39,14.73,1.0,35.57,188.93,0.0,0.0,0.0,0.0
McDonalds Mocha Frappe,397.98,5.49,60.93,15.01,1.0,47.55,233.32,0.0,0.0,0.0,0.0
McDonalds Chocolate Oreo Frappe,481.11,6.03,72.51,18.89,1.0,55.14,332.6,0.0,0.0,0.0,0.0
McDonalds Strawberry Shake,255.51,3.67,44.07,7.44,1.0,37.42,139.97,0.0,0.0,0.0,0.0
McDonalds Chocolate Shake,270.9,4.16,46.76,7.7,1.0,37.78,178.46,0.0,0.0,0.0,0.0
McDonalds Mango Smoothie,231.44,3.21,46.25,3.63,1.0,38.87,85.45,0.0,0.0,0.0,0.0
McDonalds Mixed Berry Smoothie,235.43,3.33,47.16,3.59,1.0,43.0,92.07,0.0,0.0,0.0,0.0
McDonalds Raw Mango Cooler,102.38,0.14,25.18,0.04,0.0,21.06,102.68,0.0,0.0,0.0,0.0
McDonalds Mix Berry Cooler,103.85,0.16,25.56,0.04,0.0,21.25,23.82,0.0,0.0,0.0,0.0
McDonalds Sweet Lime Beverage,128.21,0.07,31.72,0.08,0.0,28.72,66.2,0.0,0.0,0.0,0.0
McDonalds Iced Americano,150.85,3.59,26.01,3.57,1.0,21.58,62.75,0.0,0.0,0.0,0.0
McDonalds American Mud Pie Shake,398.19,5.67,64.75,12.77,1.0,53.4,185.73,0.0,0.0,0.0,0.0
McDonalds Soft serve cone,85.73,1.99,15.23,1.82,1.0,10.68,40.78,0.0,0.0,0.0,0.0
McDonalds McSwirl ChocoDip,160.14,2.71,20.92,7.14,2.0,15.39,51.31,0.0,0.0,0.0,0.0
McDonalds Regular Soft Serve: Hot Fudge,121.64,2.25,19.11,4.02,1.0,17.07,65.56,0.0,0.0,0.0,0.0
McDonalds Medium Soft Serve: Hot Fudge,197.45,3.49,30.42,6.87,1.0,27.01,110.39,0.0,0.0,0.0,0.0
McDonalds Regular Soft Serve: Strawberry,100.99,1.54,19.78,1.77,1.0,17.66,34.51,0.0,0.0,0.0,0.0
McDonalds Medium Soft Serve: Strawberry,156.14,2.05,31.77,2.36,1.0,28.2,48.28,0.0,0.0,0.0,0.0
McDonalds Regular Soft Serve: Brownie with Hot Fudge,205.26,3.2,35.26,5.45,2.0,20.75,100.89,0.0,0.0,0.0,0.0
McDonalds Medium Soft Serve: Brownie with Hot Fudge,311.39,4.65,55.24,7.46,2.0,27.94,146.4,0.0,0.0,0.0,0.0
McDonalds Regular Blackforest,237.89,3.22,43.42,5.47,2.0,27.79,104.47,0.0,0.0,0.0,0.0
McDonalds Medium Blackforest,429.95,5.42,79.04,9.76,2.0,48.45,188.2,0.0,0.0,0.0,0.0
McDonalds Small McFlurry - Oreo,116.36,2.05,18.69,3.7,1.0,14.49,80.73,0.0,0.0,0.0,0.0
McDonalds Regular McFlurry - Oreo,209.39,3.58,33.42,6.81,1.0,25.35,150.9,0.0,0.0,0.0,0.0
McDonalds American Triple Cheese Chicken,457.94,24.43,37.45,22.65,2.0,7.64,1396.17,0.0,0.0,0.0,0.0
